term,frequency,total,idf
mutation.dastsitevalidationrevok,6,4074,6.520621127558696
overwhelm,3,4074,7.213768308118642
releaseassetlinkinput,6,4074,6.520621127558696
mergerequest,9,4074,6.115156019450532
ovh,2,4074,7.619233416226805
text,62,4074,4.185246211741659
//path,2,4074,7.619233416226805
datavisualizationweightenum,6,4074,6.520621127558696
equival,3,4074,7.213768308118642
workertimeout,4,4074,6.926086235666861
unoffici,6,4074,6.520621127558696
dockerfil,9,4074,6.115156019450532
observ,17,4074,5.4791672527305355
mutations.j,3,4074,7.213768308118642
typic,14,4074,5.673323267171493
alertmanagementalertconnect,6,4074,6.520621127558696
standarderror,3,4074,7.213768308118642
…spread,3,4074,7.213768308118642
designmanag,6,4074,6.520621127558696
shell/edit,3,4074,7.213768308118642
carefulli,6,4074,6.520621127558696
websocket,3,4074,7.213768308118642
timelogedg,6,4074,6.520621127558696
iii,1,4074,8.31238059678675
editor,29,4074,4.945084766800277
iif,3,4074,7.213768308118642
program,17,4074,5.4791672527305355
mutation.dastscannerprofiledelet,6,4074,6.520621127558696
iid,2,4074,7.619233416226805
mutation.destroypackag,4,4074,6.926086235666861
pseudonym,14,4074,5.673323267171493
occasion,3,4074,7.213768308118642
devopsadoptionenablednamespace.snapshot,4,4074,6.926086235666861
downtim,35,4074,4.757032535297338
releaseassetlinkedg,6,4074,6.520621127558696
tight,3,4074,7.213768308118642
verif,24,4074,5.1343267664388055
prohibit,3,4074,7.213768308118642
sourc,139,4074,3.3779066636560593
join,2,4074,7.619233416226805
skel,2,4074,7.619233416226805
counts.g,1,4074,8.31238059678675
var,2,4074,7.619233416226805
.md.erb,3,4074,7.213768308118642
capabl,23,4074,5.176886380857601
usagetrendsmeasurementconnect,6,4074,6.520621127558696
van,3,4074,7.213768308118642
packagedependencytyp,4,4074,6.926086235666861
core.longpath,2,4074,7.619233416226805
timefram,6,4074,6.520621127558696
geograph,3,4074,7.213768308118642
oracl,9,4074,6.115156019450532
vulnerabilitylocationdependencyscan,6,4074,6.520621127558696
deliv,2,4074,7.619233416226805
output,31,4074,4.8783933923016045
vulnerabilityissuelinkedg,6,4074,6.520621127558696
accord,7,4074,6.366470447731438
osx,1,4074,8.31238059678675
username/password,2,4074,7.619233416226805
workerprocess,2,4074,7.619233416226805
languag,56,4074,4.287028906051602
oss,6,4074,6.520621127558696
init,13,4074,5.7474312393252145
youll,8,4074,6.2329390551069155
group.vulnerabilitygrad,6,4074,6.520621127558696
boardsepiclistid,6,4074,6.520621127558696
osi,3,4074,7.213768308118642
grouppermiss,6,4074,6.520621127558696
microservic,3,4074,7.213768308118642
codequalitydegradationedg,6,4074,6.520621127558696
layout,12,4074,5.827473946998751
thousand,3,4074,7.213768308118642
authentiq,3,4074,7.213768308118642
secondari,57,4074,4.269329328952201
inherit,25,4074,5.093504771918551
sentryerrorcollection.detailederror,6,4074,6.520621127558696
assign,40,4074,4.623501142672815
preview,18,4074,5.422008838890586
just,17,4074,5.4791672527305355
represent,12,4074,5.827473946998751
orm,3,4074,7.213768308118642
unfortun,3,4074,7.213768308118642
subject,9,4074,6.115156019450532
renam,57,4074,4.269329328952201
dind,5,4074,6.70294268435265
orb,3,4074,7.213768308118642
taskcompletionstatu,6,4074,6.520621127558696
snake,3,4074,7.213768308118642
field,58,4074,4.251937586240332
badg,16,4074,5.53979187454697
fargat,2,4074,7.619233416226805
tests/test,3,4074,7.213768308118642
sharedrunnersset,4,4074,6.926086235666861
runnerarchitectureconnect,6,4074,6.520621127558696
parallel,21,4074,5.267858159063328
mutation.cicdsettingsupd,6,4074,6.520621127558696
pipelinesecurityreportfind,6,4074,6.520621127558696
diffpathsinput,6,4074,6.520621127558696
group.descendantgroup,4,4074,6.926086235666861
counts.cycl,1,4074,8.31238059678675
mutation.createcomplianceframework,6,4074,6.520621127558696
approvalst,3,4074,7.213768308118642
partial,8,4074,6.2329390551069155
idempot,6,4074,6.520621127558696
webauthn,3,4074,7.213768308118642
mutation.issuesetsubscript,6,4074,6.520621127558696
test,354,4074,2.4430836836529766
abuild,3,4074,7.213768308118642
mailbox.org,2,4074,7.619233416226805
back,56,4074,4.287028906051602
gitlab.deprec,2,4074,7.619233416226805
ciminutesprojectmonthlyusageedg,4,4074,6.926086235666861
webcast,3,4074,7.213768308118642
inspect,3,4074,7.213768308118642
symbol,4,4074,6.926086235666861
groupedg,4,4074,6.926086235666861
opt,8,4074,6.2329390551069155
idl,2,4074,7.619233416226805
mutation.todorestoremani,6,4074,6.520621127558696
submit,25,4074,5.093504771918551
designcollection.design,6,4074,6.520621127558696
batchload,3,4074,7.213768308118642
shallowmountextend,3,4074,7.213768308118642
query.geonod,6,4074,6.520621127558696
mutation.epicmovelist,6,4074,6.520621127558696
incidentmanagementoncallschedule.rot,6,4074,6.520621127558696
12.1.0,3,4074,7.213768308118642
term,32,4074,4.846644693987025
delet,324,4074,2.5316370809944218
technologi,5,4074,6.70294268435265
jetbrain,6,4074,6.520621127558696
groovi,3,4074,7.213768308118642
app/control,3,4074,7.213768308118642
annot,43,4074,4.551180481093189
erdiagram,3,4074,7.213768308118642
deleg,3,4074,7.213768308118642
exploit,3,4074,7.213768308118642
oom,5,4074,6.70294268435265
commit.pipelin,6,4074,6.520621127558696
checkout,3,4074,7.213768308118642
nullabl,3,4074,7.213768308118642
mutation.vulnerabilityreverttodetect,6,4074,6.520621127558696
overview,211,4074,2.9605224633106846
rescal,3,4074,7.213768308118642
appli,62,4074,4.185246211741659
ibm,3,4074,7.213768308118642
bug,14,4074,5.673323267171493
dora.metr,4,4074,6.926086235666861
readm,7,4074,6.366470447731438
readi,35,4074,4.757032535297338
paus,10,4074,6.009795503792706
fragment,3,4074,7.213768308118642
sanit,6,4074,6.520621127558696
craft,3,4074,7.213768308118642
aforement,3,4074,7.213768308118642
onc,70,4074,4.063885354737392
project.terraformst,6,4074,6.520621127558696
decrypt,6,4074,6.520621127558696
vulnerabilityloc,6,4074,6.520621127558696
vulnerabilitiescountbydayandsever,2,4074,7.619233416226805
transfer,29,4074,4.945084766800277
meet,6,4074,6.520621127558696
spec.selector,2,4074,7.619233416226805
mutationoperationmod,6,4074,6.520621127558696
herokuish,2,4074,7.619233416226805
iam,8,4074,6.2329390551069155
pyenv,3,4074,7.213768308118642
vulner,109,4074,3.6210327145576073
dastsiteprofil,6,4074,6.520621127558696
reach,9,4074,6.115156019450532
glex,5,4074,6.70294268435265
allow,135,4074,3.4071058183483216
iac,7,4074,6.366470447731438
rails/product,1,4074,8.31238059678675
milestonewildcardid,4,4074,6.926086235666861
dorametr,4,4074,6.926086235666861
mutation.jobplai,6,4074,6.520621127558696
june,3,4074,7.213768308118642
project.servic,6,4074,6.520621127558696
maintain,32,4074,4.846644693987025
patroni,12,4074,5.827473946998751
googl,60,4074,4.21803603456465
project.environ,6,4074,6.520621127558696
path,95,4074,3.7585037051862105
mutation.rundastscan,2,4074,7.619233416226805
mobil,3,4074,7.213768308118642
upload,129,4074,3.452568192425079
complianceframeworkconnect,6,4074,6.520621127558696
arent,2,4074,7.619233416226805
deletejobsrespons,6,4074,6.520621127558696
alloc,5,4074,6.70294268435265
cognito,3,4074,7.213768308118642
mount,23,4074,5.176886380857601
datasourc,2,4074,7.619233416226805
bsd,2,4074,7.619233416226805
bastion.gprd.gitlab.com,3,4074,7.213768308118642
past,17,4074,5.4791672527305355
pass,42,4074,4.574710978503383
interrupt,9,4074,6.115156019450532
credenti,42,4074,4.574710978503383
ed25519,4,4074,6.926086235666861
destroi,12,4074,5.827473946998751
tens,2,4074,7.619233416226805
old,18,4074,5.422008838890586
divid,3,4074,7.213768308118642
issafeurl,3,4074,7.213768308118642
identifi,64,4074,4.153497513427079
inbound,6,4074,6.520621127558696
mergerequestrevieweredg,6,4074,6.520621127558696
prettier,6,4074,6.520621127558696
issuepermiss,6,4074,6.520621127558696
recentfailur,6,4074,6.520621127558696
busybox,4,4074,6.926086235666861
trgm,2,4074,7.619233416226805
counts.label,1,4074,8.31238059678675
query.packag,6,4074,6.520621127558696
delai,15,4074,5.604330395684541
asset,35,4074,4.757032535297338
query.iter,6,4074,6.520621127558696
grpc,5,4074,6.70294268435265
part,64,4074,4.153497513427079
pars,16,4074,5.53979187454697
dastprofileconnect,6,4074,6.520621127558696
asdf,3,4074,7.213768308118642
sastciconfigur,6,4074,6.520621127558696
okd,2,4074,7.619233416226805
alertmanagementpayloadalertmappingfield,6,4074,6.520621127558696
grow,6,4074,6.520621127558696
readabl,5,4074,6.70294268435265
user,432,4074,2.243955008542641
diverg,3,4074,7.213768308118642
metric,177,4074,3.136230864212922
incom,34,4074,4.78602007217059
given,26,4074,5.054284058765269
teamciti,3,4074,7.213768308118642
becaus,32,4074,4.846644693987025
gitali,118,4074,3.541695972321086
1.x,4,4074,6.926086235666861
jobid,6,4074,6.520621127558696
snippet.blob,6,4074,6.520621127558696
artifact,85,4074,3.8697293402964346
slight,3,4074,7.213768308118642
certain,38,4074,4.674794437060365
5xx,3,4074,7.213768308118642
duplic,33,4074,4.815873035320271
reauthor,4,4074,6.926086235666861
diff,19,4074,5.3679416176203105
claus,2,4074,7.619233416226805
tell,2,4074,7.619233416226805
mutation.dastprofileupd,6,4074,6.520621127558696
dora,10,4074,6.009795503792706
uniqu,15,4074,5.604330395684541
ciconfig,6,4074,6.520621127558696
adminsidekiqqueuesdeletejob,6,4074,6.520621127558696
devopsadopt,4,4074,6.926086235666861
matur,5,4074,6.70294268435265
webpack,6,4074,6.520621127558696
popular,8,4074,6.2329390551069155
mean,21,4074,5.267858159063328
becom,11,4074,5.914485323988381
squash,10,4074,6.009795503792706
tree,9,4074,6.115156019450532
sentrydetailederror,6,4074,6.520621127558696
vulnerabilitylocationcoveragefuzz,6,4074,6.520621127558696
jekyl,3,4074,7.213768308118642
box,13,4074,5.7474312393252145
stream,25,4074,5.093504771918551
gollum,3,4074,7.213768308118642
nodetyp,3,4074,7.213768308118642
lópez,3,4074,7.213768308118642
multipli,5,4074,6.70294268435265
bot,10,4074,6.009795503792706
config.yaml,3,4074,7.213768308118642
bundler,3,4074,7.213768308118642
knowledg,7,4074,6.366470447731438
frequent,14,4074,5.673323267171493
project.alertmanagementintegr,6,4074,6.520621127558696
statefulset,2,4074,7.619233416226805
openssh,8,4074,6.2329390551069155
simplifi,12,4074,5.827473946998751
glad,3,4074,7.213768308118642
incidentmanagementoncallrotationedg,6,4074,6.520621127558696
wrong,10,4074,6.009795503792706
visual,53,4074,4.342088683234629
bob,3,4074,7.213768308118642
ciconfiggroupedg,6,4074,6.520621127558696
oncallrotationlengthinputtyp,6,4074,6.520621127558696
mutation.jiraimportstart,6,4074,6.520621127558696
ldap,48,4074,4.44117958587886
frequenc,3,4074,7.213768308118642
explain.depesz.com,3,4074,7.213768308118642
reschedul,3,4074,7.213768308118642
mutation.httpintegrationupd,6,4074,6.520621127558696
timelogconnect,6,4074,6.520621127558696
snippetblobedg,6,4074,6.520621127558696
keyspac,3,4074,7.213768308118642
utf,6,4074,6.520621127558696
green,3,4074,7.213768308118642
chef,6,4074,6.520621127558696
class,57,4074,4.269329328952201
queue,28,4074,4.980176086611547
mutation.dastsiteprofileupd,6,4074,6.520621127558696
deriv,6,4074,6.520621127558696
camelcas,2,4074,7.619233416226805
product,79,4074,3.9429327443197297
panel,15,4074,5.604330395684541
also,56,4074,4.287028906051602
resort,3,4074,7.213768308118642
trick,5,4074,6.70294268435265
snippetrepositoryregistryconnect,6,4074,6.520621127558696
manual,151,4074,3.295100759971827
mutation.updateissu,6,4074,6.520621127558696
kind,19,4074,5.3679416176203105
union,6,4074,6.520621127558696
blobviewerstyp,6,4074,6.520621127558696
group.issu,6,4074,6.520621127558696
alertmanagementhttpintegrationconnect,6,4074,6.520621127558696
key/valu,5,4074,6.70294268435265
releaseconnect,6,4074,6.520621127558696
slug.2m,3,4074,7.213768308118642
discover,5,4074,6.70294268435265
epichealthstatu,6,4074,6.520621127558696
permiss,128,4074,3.460350332867134
consum,6,4074,6.520621127558696
siteag,1,4074,8.31238059678675
softwar,50,4074,4.400357591358605
consul,19,4074,5.3679416176203105
unicod,3,4074,7.213768308118642
gltoggl,3,4074,7.213768308118642
vulnerabilityscannerconnect,6,4074,6.520621127558696
gemnasium,3,4074,7.213768308118642
usag,131,4074,3.4371832735855996
group.project,6,4074,6.520621127558696
privat,66,4074,4.122725854760326
dont,57,4074,4.269329328952201
project.projectmemb,6,4074,6.520621127558696
consequ,3,4074,7.213768308118642
url,106,4074,3.648941502674684
export,118,4074,3.541695972321086
customemojiid,6,4074,6.520621127558696
uri,7,4074,6.366470447731438
arrai,15,4074,5.604330395684541
organ,33,4074,4.815873035320271
done,14,4074,5.673323267171493
structur,50,4074,4.400357591358605
kill,7,4074,6.366470447731438
ultim,111,4074,3.602850395474417
timer,3,4074,7.213768308118642
trap,2,4074,7.619233416226805
share,96,4074,3.7480324053189147
counts.person,1,4074,8.31238059678675
biggest,4,4074,6.926086235666861
project/group,3,4074,7.213768308118642
alertmanagementintegrationtyp,6,4074,6.520621127558696
trademark,3,4074,7.213768308118642
caus,12,4074,5.827473946998751
triag,3,4074,7.213768308118642
guard,3,4074,7.213768308118642
adfind,3,4074,7.213768308118642
dial,9,4074,6.115156019450532
sastciconfigurationent,6,4074,6.520621127558696
ossa,3,4074,7.213768308118642
invok,13,4074,5.7474312393252145
queri,138,4074,3.3851269116295466
online.net,2,4074,7.619233416226805
bring,13,4074,5.7474312393252145
releasesourc,6,4074,6.520621127558696
optimist,3,4074,7.213768308118642
invoc,3,4074,7.213768308118642
healthstatu,6,4074,6.520621127558696
revert,41,4074,4.598808530082443
revers,10,4074,6.009795503792706
mutation.promotetoep,6,4074,6.520621127558696
affect,6,4074,6.520621127558696
framework,35,4074,4.757032535297338
.gitmodul,3,4074,7.213768308118642
phase,5,4074,6.70294268435265
geo.log,3,4074,7.213768308118642
chat,6,4074,6.520621127558696
sentri,29,4074,4.945084766800277
incid,46,4074,4.483739200297656
perform,180,4074,3.119423745896541
iterationcadenceconnect,6,4074,6.520621127558696
pendingmigrationerror,3,4074,7.213768308118642
chao,3,4074,7.213768308118642
great,7,4074,6.366470447731438
quot,6,4074,6.520621127558696
apiv4,3,4074,7.213768308118642
ciconfigjobedg,6,4074,6.520621127558696
3000/user/repo.git/,2,4074,7.619233416226805
perforc,3,4074,7.213768308118642
mergestrategyenum,6,4074,6.520621127558696
reconcil,4,4074,6.926086235666861
archiv,42,4074,4.574710978503383
fixtur,9,4074,6.115156019450532
treeentryedg,6,4074,6.520621127558696
regex,8,4074,6.2329390551069155
values.yaml,2,4074,7.619233416226805
boardepic.currentusertodo,6,4074,6.520621127558696
alon,2,4074,7.619233416226805
cast,3,4074,7.213768308118642
karma,9,4074,6.115156019450532
script,66,4074,4.122725854760326
initi,65,4074,4.137993326891114
iter,43,4074,4.551180481093189
negatediterationwildcardid,6,4074,6.520621127558696
vector,4,4074,6.926086235666861
boardlist,6,4074,6.520621127558696
item,48,4074,4.44117958587886
bigint,6,4074,6.520621127558696
never,17,4074,5.4791672527305355
case,187,4074,3.0812719799321644
bit,5,4074,6.70294268435265
breakdown,4,4074,6.926086235666861
query.echo,6,4074,6.520621127558696
licensehistoryentri,6,4074,6.520621127558696
mutation.securitypolicyprojectassign,4,4074,6.926086235666861
altern,72,4074,4.0357144777706955
next,43,4074,4.551180481093189
/etc/gitlab/gitlab.rb,5,4074,6.70294268435265
passeng,2,4074,7.619233416226805
stylesheet.scss,3,4074,7.213768308118642
big,3,4074,7.213768308118642
document,368,4074,2.40429765861782
mermaid,6,4074,6.520621127558696
terraformstateid,6,4074,6.520621127558696
install/upd,3,4074,7.213768308118642
linux/arm64,1,4074,8.31238059678675
associ,55,4074,4.3050474115542805
checkbox,6,4074,6.520621127558696
reliabl,9,4074,6.115156019450532
applic,248,4074,2.7989518506217688
outlook,2,4074,7.619233416226805
pair,8,4074,6.2329390551069155
risk,12,4074,5.827473946998751
hub,5,4074,6.70294268435265
packageset,6,4074,6.520621127558696
brows,8,4074,6.2329390551069155
mutation.configuredependencyscan,4,4074,6.926086235666861
care,26,4074,5.054284058765269
epic,52,4074,4.361136878205324
card,6,4074,6.520621127558696
wast,9,4074,6.115156019450532
mergerequest.diffstat,6,4074,6.520621127558696
flaki,6,4074,6.520621127558696
attack,26,4074,5.054284058765269
minimum,20,4074,5.31664832323276
counts.sast,1,4074,8.31238059678675
attach,29,4074,4.945084766800277
resolv,56,4074,4.287028906051602
asynchron,6,4074,6.520621127558696
usermergerequestinteract,6,4074,6.520621127558696
mutation.updateboard,6,4074,6.520621127558696
recaptcha,3,4074,7.213768308118642
publish,57,4074,4.269329328952201
scanexecutionpolicyconnect,4,4074,6.926086235666861
annual,2,4074,7.619233416226805
mechan,24,4074,5.1343267664388055
explain.dalibo.com,3,4074,7.213768308118642
remov,295,4074,2.6254052404469315
implicit,6,4074,6.520621127558696
dread,3,4074,7.213768308118642
remot,32,4074,4.846644693987025
snippetrepositoryregistryedg,6,4074,6.520621127558696
manag,317,4074,2.5534788229094705
escalationrulestatu,4,4074,6.926086235666861
rbtrace,6,4074,6.520621127558696
epicboard.list,6,4074,6.520621127558696
commonmark,3,4074,7.213768308118642
testreport,6,4074,6.520621127558696
consol,43,4074,4.551180481093189
pathlockedg,6,4074,6.520621127558696
incidentmanagementescalationpolicyid,4,4074,6.926086235666861
ticket,4,4074,6.926086235666861
group.vulnerabilityseveritiescount,6,4074,6.520621127558696
global.ingress.configurecertmanag,4,4074,6.926086235666861
transit,18,4074,5.422008838890586
render,21,4074,5.267858159063328
dangl,3,4074,7.213768308118642
quarterli,4,4074,6.926086235666861
warn,48,4074,4.44117958587886
warm,3,4074,7.213768308118642
requests/limit,2,4074,7.619233416226805
iterationcadenceedg,6,4074,6.520621127558696
confus,2,4074,7.619233416226805
banner,3,4074,7.213768308118642
dictionari,6,4074,6.520621127558696
monorepo,2,4074,7.619233416226805
schannel,3,4074,7.213768308118642
subset,3,4074,7.213768308118642
database.adapt,1,4074,8.31238059678675
unrepl,3,4074,7.213768308118642
matter,14,4074,5.673323267171493
equat,5,4074,6.70294268435265
incidentmanagementoncallparticipantid,6,4074,6.520621127558696
hostpath,2,4074,7.619233416226805
duti,6,4074,6.520621127558696
gandi,2,4074,7.619233416226805
clusteragentconnect,6,4074,6.520621127558696
page,274,4074,2.6992524903986808
container,3,4074,7.213768308118642
app/asset,3,4074,7.213768308118642
drawer,4,4074,6.926086235666861
affin,2,4074,7.619233416226805
equal,4,4074,6.926086235666861
avoid,114,4074,3.5761821483922556
unknown,24,4074,5.1343267664388055
refactor,9,4074,6.115156019450532
libravatar,6,4074,6.520621127558696
trust,6,4074,6.520621127558696
invers,2,4074,7.619233416226805
containerrepositorystatu,6,4074,6.520621127558696
month,3,4074,7.213768308118642
akismet,3,4074,7.213768308118642
invit,7,4074,6.366470447731438
apifuzzingscanmod,6,4074,6.520621127558696
packagefil,9,4074,6.115156019450532
ciconfiggroup,6,4074,6.520621127558696
durabl,3,4074,7.213768308118642
snippetid,6,4074,6.520621127558696
spreadsheet,3,4074,7.213768308118642
successfulli,11,4074,5.914485323988381
/opt/gitlab/embedded/nodes/nod,2,4074,7.619233416226805
toomanyinvocationserror,3,4074,7.213768308118642
credit,9,4074,6.115156019450532
team,69,4074,4.078274092189492
superflu,3,4074,7.213768308118642
fetch,34,4074,4.78602007217059
mutation.createalertissu,6,4074,6.520621127558696
lower,5,4074,6.70294268435265
counts.kubernet,1,4074,8.31238059678675
designversion.designatvers,6,4074,6.520621127558696
faster,7,4074,6.366470447731438
discontinu,1,4074,8.31238059678675
group.mergerequest,6,4074,6.520621127558696
cant,29,4074,4.945084766800277
default,408,4074,2.3011134223825893
verifi,120,4074,3.5248888540047054
workspac,5,4074,6.70294268435265
unifi,6,4074,6.520621127558696
earli,15,4074,5.604330395684541
capit,6,4074,6.520621127558696
issuablesearchablefield,4,4074,6.926086235666861
turbo,2,4074,7.619233416226805
project.issuestatuscount,6,4074,6.520621127558696
benefit,8,4074,6.2329390551069155
quit,3,4074,7.213768308118642
global.hosts.externalip,1,4074,8.31238059678675
unord,6,4074,6.520621127558696
reactivecach,6,4074,6.520621127558696
synopsi,2,4074,7.619233416226805
query.metadata,6,4074,6.520621127558696
clair,1,4074,8.31238059678675
nest,38,4074,4.674794437060365
sleep,3,4074,7.213768308118642
dure,60,4074,4.21803603456465
temporari,9,4074,6.115156019450532
claim,3,4074,7.213768308118642
eslint,9,4074,6.115156019450532
static,40,4074,4.623501142672815
addit,174,4074,3.153325297572222
translat,34,4074,4.78602007217059
scaler,2,4074,7.619233416226805
profiling.stackdriver.credentials.secret,4,4074,6.926086235666861
mergerequestassignee.todo,6,4074,6.520621127558696
creation,33,4074,4.815873035320271
config.toml,18,4074,5.422008838890586
camo,3,4074,7.213768308118642
alert,41,4074,4.598808530082443
designmanagementversionid,6,4074,6.520621127558696
labelid,6,4074,6.520621127558696
allowlist,9,4074,6.115156019450532
alia,6,4074,6.520621127558696
hpa,4,4074,6.926086235666861
flamegraph,3,4074,7.213768308118642
sentryerrorcollection.error,6,4074,6.520621127558696
noteedg,6,4074,6.520621127558696
runnerplatform,6,4074,6.520621127558696
geonode.mergerequestdiffregistri,6,4074,6.520621127558696
mutation.runnerupd,4,4074,6.926086235666861
codecoverageactivityedg,6,4074,6.520621127558696
counts.kei,1,4074,8.31238059678675
customemojiconnect,6,4074,6.520621127558696
uid,3,4074,7.213768308118642
approx,3,4074,7.213768308118642
depart,3,4074,7.213768308118642
approv,60,4074,4.21803603456465
want,154,4074,3.2754279943731217
januari,3,4074,7.213768308118642
dastprofilebranch,6,4074,6.520621127558696
grai,6,4074,6.520621127558696
kroki,12,4074,5.827473946998751
rfc7644,3,4074,7.213768308118642
pipelinesecurityreportfindingconnect,6,4074,6.520621127558696
call,60,4074,4.21803603456465
antho,3,4074,7.213768308118642
mismatch,18,4074,5.422008838890586
pack,5,4074,6.70294268435265
telekom,2,4074,7.619233416226805
mergerequestreviewst,6,4074,6.520621127558696
scanconnect,6,4074,6.520621127558696
brief,12,4074,5.827473946998751
gitlab/gitlab,4,4074,6.926086235666861
graphiql,12,4074,5.827473946998751
releaseasset,6,4074,6.520621127558696
gitgitlab.com,3,4074,7.213768308118642
regener,3,4074,7.213768308118642
shallow,7,4074,6.366470447731438
mainten,34,4074,4.78602007217059
invalidcomponenterror,2,4074,7.619233416226805
oncallrotationunitenum,6,4074,6.520621127558696
java,11,4074,5.914485323988381
becam,3,4074,7.213768308118642
awardemoji,6,4074,6.520621127558696
packagedepend,4,4074,6.926086235666861
mutation.iterationdelet,6,4074,6.520621127558696
lfsobjectregistri,6,4074,6.520621127558696
projectmemb,6,4074,6.520621127558696
resum,3,4074,7.213768308118642
snel.com,2,4074,7.619233416226805
timestamp,3,4074,7.213768308118642
bridg,1,4074,8.31238059678675
bar,21,4074,5.267858159063328
legal,3,4074,7.213768308118642
group.vulner,6,4074,6.520621127558696
markup,12,4074,5.827473946998751
ban,6,4074,6.520621127558696
ocean,6,4074,6.520621127558696
consid,72,4074,4.0357144777706955
retarget,3,4074,7.213768308118642
mutation.removeprojectfromsecuritydashboard,6,4074,6.520621127558696
only/except,3,4074,7.213768308118642
discussionedg,6,4074,6.520621127558696
walk,3,4074,7.213768308118642
query.issu,9,4074,6.115156019450532
runners.machine.autosc,2,4074,7.619233416226805
question,18,4074,5.422008838890586
usercore.todo,6,4074,6.520621127558696
replic,72,4074,4.0357144777706955
counts.todo,1,4074,8.31238059678675
dastprofil,6,4074,6.520621127558696
domainfactori,2,4074,7.619233416226805
bad,34,4074,4.78602007217059
global.psql.password.kei,4,4074,6.926086235666861
favor,4,4074,6.926086235666861
score,3,4074,7.213768308118642
toler,33,4074,4.815873035320271
sequenti,6,4074,6.520621127558696
discord,3,4074,7.213768308118642
alertmanagementpayloadalertfieldtyp,6,4074,6.520621127558696
doubl,3,4074,7.213768308118642
scalar,6,4074,6.520621127558696
accesslevelenum,6,4074,6.520621127558696
inform,231,4074,2.8699628862649575
patch,20,4074,5.31664832323276
