Proximity,WordCount,TitleMatch,Reliance,FinalScore,Match
0.138169059,0.050993022,0.333333333,1,21.44161745,TRUE
0.545634921,0.073529412,0.666666667,0.986842105,43.46292009,TRUE
0,0.00477327,0,1,0.224719101,TRUE
0.55,0.1,0.5,1,37.19230769,TRUE
0.295420199,0.007215007,0.5,0.986842105,31.74022539,TRUE
0,0.012958963,0,1,0.62283737,TRUE
0.119732664,0.044326241,0.090909091,0.824175824,8.304259786,TRUE
0.203822236,0.04494382,0,1,7.291137667,TRUE
0.666666667,0.1875,0.5,1,40.73170732,TRUE
0.698979592,0.041237113,1,1,62.10146323,TRUE
0.222231823,0.022012579,1,1,47.43337804,TRUE
0,0.028318584,0,1,1.411764706,TRUE
0.240092117,0.040492958,0.75,0.773195876,32.18364625,TRUE
0.625614092,0.102339181,1,0.986842105,61.61817575,TRUE
0.274673574,0.029792746,1,0.892857143,47.7503935,TRUE
0,0.002781641,0,1,0.143884892,TRUE
0.112190088,0.012922843,1,1,45.1730874,TRUE
0.268497727,0.038352273,0.666666667,1,40.14081696,TRUE
0.070516125,0.008429672,1,0.914634146,39.9041703,TRUE
0.189543824,0.045964531,0.75,1,40.03349039,TRUE
0.095545822,0.035750766,0.6,1,30.21912323,TRUE
0.025618795,0.017236342,0.142857143,1,7.678527958,TRUE
0,0.096774194,0.25,1,11.23287671,TRUE
0.109357782,0.017948718,0.4,0.914634146,19.31796765,TRUE
0.179282451,0.019206146,0.5,0.974025974,25.76475857,TRUE
0.193279849,0.024822695,0.333333333,0.9375,18.70503873,TRUE
0.076018139,0.082758621,1,0.675675676,30.97033766,TRUE
0.27823329,0.061238223,0.5,1,31.52881688,TRUE
0.597484639,0.0703125,0.666666667,0.986842105,45.49301223,TRUE
0.432278492,0.020661157,0.5,1,33.8086909,TRUE
0.267452076,0.00877193,0,0.949367089,10.50525673,TRUE
0.230113732,0.002555622,1,1,50.50333068,TRUE
0.401173566,0.070833333,1,0.9375,50.81758101,TRUE
0.03475915,0.009741237,0,1,1.622236054,TRUE
0.017736822,0.005780347,0.25,0.949367089,10.26836994,TRUE
0.10126811,0.013071895,1,0.842696629,36.84257991,TRUE
0.441375109,0.043814433,0.5,1,35.26908628,TRUE
0.528985515,0.085258526,1,1,60.41058106,TRUE
0,0.004995837,0.333333333,1,13.61938816,TRUE
0.172633409,0.056716418,1,0.925925926,45.86958416,TRUE
0.080198636,0.005752927,0.571428571,1,26.7959426,TRUE
0.54719246,0.113259669,0.666666667,0.914634146,43.20534684,TRUE
0.229514967,0.086065574,0.666666667,0.882352941,34.72677764,TRUE
0,0.073529412,0,1,3.866809882,TRUE
0.280000541,0.025641026,1,0.925925926,48.12581826,TRUE
0,0.073170732,0.25,1,11.82741117,TRUE
0,0.08045977,0.5,1,22.90657439,TRUE
0.220937234,0.011383538,1,0.892857143,42.13984835,TRUE
0.439154749,0.025700935,1,1,54.61963427,TRUE
0.484606615,0.010545906,0.666666667,1,41.75861104,TRUE
0.301861572,0.080882353,1,0.961538462,53.25677828,TRUE
0.457335952,0.085382514,1,0.765306122,44.5006143,TRUE
0,0.115384615,0.5,1,21.27659574,TRUE
